Roll no,Division,Tutorial,Lab,Location
220121054,III,T12,L7,5206
220121055,III,T12,L7,5206
220121056,III,T13,L7,1G1
220121057,III,T13,L7,1G1
220121058,III,T13,L7,1G1
220121059,III,T13,L7,1G1
220121060,III,T13,L7,1G1
220121061,III,T14,L7,1G2
220121062,III,T14,L7,1G2
220121063,III,T14,L7,1G2
220121064,III,T14,L7,1G2
220121065,III,T14,L7,1G2
220121066,III,T15,L7,4210
220121067,III,T15,L7,4210
220121068,III,T15,L7,4210
220121069,III,T15,L7,4210
220121070,III,T15,L7,4210
220123001,III,T1,L7,5G1
220123002,III,T1,L7,5G1
220123003,III,T1,L7,5G1
220123004,III,T1,L7,5G1
220123005,III,T2,L7,2101
220123006,III,T2,L7,2101
220123007,III,T2,L7,2101
220123008,III,T2,L7,2101
220123009,III,T3,L7,2203
220123010,III,T3,L7,2203
220123011,III,T3,L7,2203
220123012,III,T3,L7,2203
220123014,III,T4,L7,2204
220123015,III,T4,L7,2204
220123016,III,T4,L7,2204
220123017,III,T5,L7,3102
220123018,III,T5,L7,3102
220123019,III,T5,L8,3102
220123020,III,T5,L8,3102
220123021,III,T5,L8,3102
220123022,III,T6,L8,3202
220123023,III,T6,L8,3202
220123024,III,T6,L8,3202
220123025,III,T6,L8,3202
220123026,III,T7,L8,4001
220123027,III,T7,L8,4001
220123028,III,T7,L8,4001
220123029,III,T7,L8,4001
220123030,III,T7,L8,4001
220123031,III,T8,L8,4005
220123032,III,T8,L8,4005
220123033,III,T8,L8,4005
220123034,III,T8,L8,4005
220123035,III,T8,L8,4005
220123036,III,T9,L8,4006
220123037,III,T9,L8,4006
220123038,III,T9,L8,4006
220123039,III,T9,L8,4006
220123040,III,T9,L8,4006
220123041,III,T10,L8,5201
220123042,III,T10,L8,5201
220123043,III,T10,L8,5201
220123044,III,T10,L8,5201
220123045,III,T10,L8,5201
220123046,III,T11,L8,1205
220123047,III,T11,L8,1205
220123048,III,T11,L8,1205
220123049,III,T11,L8,1205
220123050,III,T11,L8,1205
220123052,III,T12,L8,5206
220123053,III,T12,L8,5206
220123054,III,T12,L8,5206
220123055,III,T12,L8,5206
220123056,III,T13,L8,1G1
220123057,III,T13,L8,1G1
220123058,III,T13,L8,1G1
220123059,III,T13,L8,1G1
220123060,III,T13,L8,1G1
220123061,III,T14,L8,1G2
220123062,III,T14,L8,1G2
220123063,III,T14,L8,1G2
220123064,III,T14,L8,1G2
220123065,III,T14,L8,1G2
220123066,III,T15,L8,4210
220123067,III,T15,L8,4210
220123068,III,T15,L8,4210
220123069,III,T15,L8,4210
220123070,III,T15,L8,4210
220123071,III,T15,L8,4210
220123072,III,T16,L8,4G1
220123073,III,T16,L8,4G1
220107001,IV,T1,L8,5G1
220107002,IV,T1,L8,5G1
220107003,IV,T1,L8,5G1
220107004,IV,T1,L8,5G1
220107005,IV,T2,L8,2101
220107006,IV,T2,L8,2101
220107007,IV,T2,L8,2101
220107008,IV,T2,L8,2101
220107009,IV,T3,L8,2203
220107010,IV,T3,L8,2203
220107011,IV,T3,L8,2203
220107012,IV,T3,L8,2203
220107013,IV,T4,L8,2204
220107014,IV,T4,L8,2204
220107015,IV,T4,L8,2204
220107017,IV,T5,L8,3102
220107018,IV,T5,L8,3102
220107019,IV,T5,L8,3102
220107020,IV,T5,L8,3102
220107021,IV,T5,L8,3102
220107022,IV,T6,L8,3202
220107023,IV,T6,L8,3202
220107024,IV,T6,L8,3202
220107025,IV,T6,L8,3202
220107026,IV,T7,L8,4001
220107027,IV,T7,L8,4001
220107028,IV,T7,L8,4001
220107029,IV,T7,L8,4001
220107030,IV,T7,L8,4001
220107031,IV,T8,L8,4005
220107032,IV,T8,L8,4005
220107033,IV,T8,L8,4005
220107034,IV,T8,L8,4005
220107035,IV,T8,L8,4005
220107036,IV,T9,L8,4006
220107037,IV,T9,L8,4006
220107038,IV,T9,L8,4006
220107039,IV,T9,L8,4006
220107040,IV,T9,L8,4006
220107041,IV,T10,L8,5201
220107042,IV,T10,L8,5201
220107043,IV,T10,L8,5201
220107044,IV,T10,L8,5201
220107045,IV,T10,L8,5201
220107046,IV,T11,L8,1205
220107047,IV,T11,L8,1205
220107048,IV,T11,L8,1205
220107049,IV,T11,L9,1205
220107050,IV,T11,L9,1205
220107051,IV,T12,L9,5206
220107052,IV,T12,L9,5206
220107053,IV,T12,L9,5206
220107055,IV,T12,L9,5206
220107056,IV,T13,L9,1G1
220107057,IV,T13,L9,1G1
220107058,IV,T13,L9,1G1
220107059,IV,T13,L9,1G1
220107060,IV,T13,L9,1G1
220107061,IV,T14,L9,1G2
220107062,IV,T14,L9,1G2
220107063,IV,T14,L9,1G2
220107064,IV,T14,L9,1G2
220107065,IV,T14,L9,1G2
220107066,IV,T15,L9,4210
220107067,IV,T15,L9,4210
220107068,IV,T15,L9,4210
220107069,IV,T15,L9,4210
220107070,IV,T15,L9,4210
220107071,IV,T15,L9,4210
220107072,IV,T16,L9,4G1
220107073,IV,T16,L9,4G1
220107074,IV,T16,L9,4G1
220107075,IV,T16,L9,4G1
220107076,IV,T16,L9,4G1
220107077,IV,T16,L9,4G1
220107078,IV,T16,L9,4G1
220107079,IV,T16,L9,4G1
220107080,IV,T17,L9,4G2
220107081,IV,T17,L9,4G2
220107082,IV,T17,L9,4G2
220107083,IV,T17,L9,4G2
220107084,IV,T17,L9,4G2
220107085,IV,T17,L9,4G2
220107086,IV,T17,L9,4G2
220107087,IV,T17,L9,4G2
220107088,IV,T17,L9,4G2
220107089,IV,T18,L9,L1
220107090,IV,T18,L9,L1
220107091,IV,T18,L9,L1
220107093,IV,T18,L9,L1
220107094,IV,T18,L9,L1
220107095,IV,T18,L9,L1
220107096,IV,T18,L9,L1
220107097,IV,T18,L9,L1
220107098,IV,T19,L9,L2
220122001,IV,T1,L9,5G1
220122002,IV,T1,L9,5G1
220122003,IV,T1,L9,5G1
220122004,IV,T1,L9,5G1
220122005,IV,T2,L9,2101
220122006,IV,T2,L9,2101
220122007,IV,T2,L9,2101
220122008,IV,T2,L9,2101
220122009,IV,T3,L9,2203
220122010,IV,T3,L9,2203
220122011,IV,T3,L9,2203
220122012,IV,T3,L9,2203
220122013,IV,T4,L9,2204
220122014,IV,T4,L9,2204
220122015,IV,T4,L9,2204
220122017,IV,T5,L9,3102
220122018,IV,T5,L9,3102
220122019,IV,T5,L9,3102
220122020,IV,T5,L9,3102
220122021,IV,T5,L9,3102
220122022,IV,T6,L9,3202
220122023,IV,T6,L9,3202
220122024,IV,T6,L9,3202
220122025,IV,T6,L9,3202
220122026,IV,T7,L9,4001
220122027,IV,T7,L9,4001
220122028,IV,T7,L9,4001
220122029,IV,T7,L9,4001
220122030,IV,T7,L9,4001
220122031,IV,T8,L9,4005
220122032,IV,T8,L9,4005
220122033,IV,T8,L9,4005
220122034,IV,T8,L9,4005
220122036,IV,T9,L9,4006
220122037,IV,T9,L9,4006
220122038,IV,T9,L9,4006
220122039,IV,T9,L9,4006
220122040,IV,T9,L9,4006
220122041,IV,T10,L9,5201
220122042,IV,T10,L9,5201
220122043,IV,T10,L9,5201
220122044,IV,T10,L9,5201
220122045,IV,T10,L9,5201
220122046,IV,T11,L9,1205
220122047,IV,T11,L9,1205
220122048,IV,T11,L9,1205
220122049,IV,T11,L9,1205
220122050,IV,T11,L9,1205
220122051,IV,T12,L9,5206
220122052,IV,T12,L9,5206
220122053,IV,T12,L9,5206
220122055,IV,T12,L10,5206
220122056,IV,T13,L10,1G1
220122057,IV,T13,L10,1G1
220122058,IV,T13,L10,1G1
220122059,IV,T13,L10,1G1
